Components ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Project Definition,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Component occurs in stem (orig. orth)-B,Component occurs in stem (proj. orth)-B,Stem UR-B,Stem category-B,Stem subcategory-B,Stem translation-B,Secondary stem-B,Stem Source-B,Formative/component occurs in what component(s)-A,Contains component (enter)-A,Contains formative (enter)-A,Deverbal (y/n),Deverbal from,Comments,Speaker,1st check done,2nd check done
43,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",ot,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",otâm,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",pâsk,C-M:1,,,,,,burst,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Ellis,CDE2000,333,"crm, csw",,"moos1236, swam1239",pêt,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Probably means 'come',,,
47,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",pîkw,C-M:1,,,,,,break,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",pist,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Ellis,CDE2000,250,"crm, csw",,"moos1236, swam1239",pit-,C-M:1,,,,,,by pulling action,,final,TA,,,,,,,,pit-,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Ellis,CDE2000,250,"crm, csw",,"moos1236, swam1239",pit-,C-M:1,,,,,,by pulling action,,final,TI,,,,,,,pit-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",pohc,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",t-,C-M:1,,,,,,NG,,final,TA,,ABSTR,,,,,,t-,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",t-,C-M:1,,,,,,NG,,final,TI,,ABSTR,,,,,t-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",tahk,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",têpwâ,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",wani,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",wêp,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Ellis,CDE2000,333,"crm, csw",,"moos1236, swam1239",wît,C-M:1,,,,,,together with,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Ellis,CDE2000,249,"crm, csw",,"moos1236, swam1239",wîyat,C-M:1,,,,,,"funny, amuse",,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
