English word,Source definition(s),Nishnaabemwin word [full vowel form],Stem form,Stem definition,Initial,Initial definition,Medial,Medial definition,Final,Final definition,Grammatical Strategy,Semantic Strategy,Comments
computer,,---,,,,,,,,,---,---,
cookie,"cookie, sweet roll, doughnut",bkwezhgaans [bakwezhigaans],bkwezhgan [bakwezhigan],bread,,,,,-ens,diminutive,derivation: secondary,metonymy: associated substance,
CORIANDER,,---,,,,,,,,,---,---,
COW,,bzhiki [bizhikiw],,,,,,,,,???,???,
crosscut saw,,giishkboojgan [giishkiboojigan],giishk- + -bood,"sheer; severed; cut across the grain, crosscut saw + be ground, be cut, be sawn",,,,,-gan,nominalizer,derivation: secondary,metonymy: associated action,
CUP,"cup, drinking glass, small dish",naagaans [onaagaans],naagan [onaagan],"bowl, dish, plate",,,,,-ens,diminutive,derivation: secondary,???,
CUP,,mnikwegan [minikwegan],[cf. mnikwe vai],drink,,,,,-gan,instrumental nominalizer,derivation: secondary,metonymy: associated action,
diaper,,aanzyaan [aanziyaan],,,(aanz),"(gathered, bunched, clustered)",,,(iyaan),(clothing (? uncertain)),---,semantic extension (appearance),
DONKEY,"donkey, mule",memaangshenh [memaangishenh],[mamaang- + -ishe + ?] (?),[big (?) + having to do with hearing + ?],,,,,(nh (?)),"(contemptive, diminutive (?))",participle formation,metonymy: associated sensation (sound) ??,
doughnut,,see 'cookie',,,,,,,,,---,---,
drill,,---,,,,,,,,,---,---,
elephant,,jejiibdakiinh [jejiibadakiinh],[jiibad (?)],"[straight; stiff, stiffly(?)]",,,,,(nh (?)),"(contemptive, diminutive (?))",participle formation,???,
elevator,,---,,,,,,,,,---,---,
European person,,---,,,,,,,,,---,---,
fish with a hook,fish with a rod and reel,gndamoojige,gondamooj- [< gond- + -amw + ...?],[< dip into + eat (TA) + ...?],,,,,-ige,detransitivizer,derivation: secondary,metonymy: associated action (?),
FLOUR,,baasaawngaak [baasaawangaag],biisaawngaa vii [< biis- + -aawang+aa],"be fine, be finely ground (of granular objects) [< small, fine, esp. of particle-like materials + sand, ash, dust, particulate; sandy geographical features]",,,,,,,participle formation,metonymy: associated feature (texture? shape? what would you call this?),"""lit., that which is fine particulate, like sand"""
FLOUR,,naapaane [naapaane],,,,,,,,,???,???,
FORK,[dinner] fork,bdakigan [badakigan],,,badak-,"prick, stitch, stick'",,,-gan,nominalizer,derivation: primary or secondary?,metonymy: associated action,
FORK,[dinner] fork,bdakji'gan [badakijihigan]; bdakjii'gan [badakajiihigan],,,,,(-jii- (?)),"(round body, belly (?))",-gan,nominalizer,derivation: primary or secondary?,metonymy: associated action + ???,
French person,Frenchman,Wemtigoozhii [wemitigoozhii], ,,wemit-,French,,,,,???,???,
frying pan,,zaazgokwaan [zaazagokwaan],,,(zag- (?)),"(attach to, hold onto; grab; jerk (?))",,,,,???,???,not analyzed. reduplication?
GARLIC,,---,,,,,,,,,---,---,
German person,,Aanmaa [aanimaanh],,,,,,,nh,"contemptive, diminutive",borrowing,---,< French Allemand
German shepherd,,---,,,,,,,,,---,---,
GOAT,,mzhaaboos [mizhaabooz],,,,,,,,,???,???,
GOAT,,zhaabooz,,,,,,,,,???,???,
GRAPES,"grape, raisin",zhoomin,,,,,,,-min,"berry, relatively round fruit, acorn; wheat, rice; bead",???,???,
GRAPES,,zhoomnaabii,,,,,,,,,???,???,
"grill, roasting frame",,---,,,,,,,,,---,---,
guitar,,---,,,,,,,,,---,---,
gun,,baashkzigan [baashkizigan],[baashk vi + -iz + -ige],"[burst, break + act on with heat (TI) + detransitivizer]",,,,,-n,nominalizer,derivation: secondary,metonymy: associated action,why does it say that baashk is vi?
hammer,,wepjigaans [wepijigaans],,,,,,,(-ens???),(dim???),???,???,
hammer,,bgamshtigwaan [bagamishtigwaan],[bagam- + (?)],"[arrive, come, hither + (?)]",,,,,,,???,???,
hammer,,bkite'gan [bakitehigan],[OPD: hit],,,,,,-gan,nominalizer,derivation: secondary,metonymy: associated action,
hardware store,,---,,,,,,,,,---,---,
HEN,,---,,,,,,,,,---,---,
HORSE,,bezhgoognzhii [bezhigooganzhii],,,bezhigoo,one,,,,,derivation: primary (?),metonymy: associated feature,"cf. OPD: ""This has the structure of an unattested verb meaning 'has a single nail to each (hoof)'."""
HOUR,,dba'gaans [dibahigaans],,,,,,,-ens,diminutive,derivation: secondary,???,
house,,wiigwaam [wiigiwaam],,,,,,,,,---,semantic extension (function),
HUNDRED,one hundred,ngodwaak [ningodwaak],,,ningodw-,one,,,-aak,hundred(s),derivation: primary,???,
ice cream,,---,,,,,,,,,---,---,
internet,,---,,,,,,,,,---,---,
KEY,,gdaabka'gan [gidaabikahigan],???,[contains -aabik- 'metal' medial],,,,,-gan,nominalizer,derivation: secondary,???,
KEY,,gshkaabka'gan [gashkaabkahigan],???,[contains -aabik- 'metal' medial],,,,,-gan,nominalizer,derivation: secondary,???,
KEY,,aandaabka'gan,???,[contains -aabik- 'metal' medial],,,,,-gan,nominalizer,derivation: secondary,???,
KEY,,aabaabka'gan,???,[contains -aabik- 'metal' medial],,,,,-gan,nominalizer,derivation: secondary,???,
laptop/ipad,,---,,,,,,,,,---,---,
LEMON,,bookde'min [bookidehimin],???,,,,,,-min,"berry, relatively round fruit, acorn; wheat, rice; bead",???,???,
LETTUCE,,---,,,,,,,,,---,---,
MARE,,---,,,,,,,,,---,---,
MATCH,match (for lighting things such as cigarettes),shkodens [íshkodens],shkode,fire,,,,,-ens,diminutive,derivation: secondary,metonymy: associated substance?,
microwave oven,,---,,,,,,,,,---,---,
MILE,, +dba'aabaan [díbahaabaan],,used with a number root to indicate a number of miles,,,,,,,???,???,
MONEY,,zhoonyaa [zhooniyaa],,,,,,,,,???,???,
monkey,,zaagoonh,,,zaag- (?),out; outside; protruding (?),,,,,???,???,no analysis given
monkey,"chimpanzee, monkey",ndamaakmeshiinh [nandamaakomeshiinh],ndamaakme [nandamaakome] (vai) [< nanda(w)- + ?],"look for lice, pick lice [< seek, want + ?]",,,,,(nh (?)),"(contemptive, diminutive (?))",derivation: secondary,metonymy: associated action,
MULE,,[see 'donkey'],,,,,,,,,---,---,
musical instrument,,---,,,,,,,,,---,---,
NAIL,,zga'gan [zagahigan],,,zag,"attach to, hold onto; grab; jerk",,,(-gan (?)),(nominalizer (?)),derivation: primary or secondary?,,no analysis given
NAIL,,zgaakogan [zagaakogan],,,zag,"attach to, hold onto; grab; jerk",,,(-gan (?)),(nominalizer (?)),derivation: primary or secondary?,???,
NAIL,"nail, screw",zgaakw'igan [zagaakwahigan],,,zag,"attach to, hold onto; grab; jerk",,,(-gan (?)),(nominalizer (?)),derivation: primary or secondary?,???,
NEEDLE,sewing needle,zhaabnigan [zhaabonigan],???,,,,,,(-gan (?)),(nominalizer (?)),???,???,
Norwegian person,,---,,,,,,,,,---,---,
OATS,"oats, rice",mnoomin,,,manoo-,rice,,,-min,"berry, relatively round fruit, acorn; wheat, rice; bead",derivation: primary,"metonymy: associated feature (shape, size)?",
office,band office,gimaawgamig [ogimaawigamig],gimaa [ogimaa],chief,,,,,-gamigw,"building, house, room",derivation: secondary,metonymy: associated state? attribute?,"""lit., chief's building"""
office,"meeting hall, band office",giigdoogamik [giigidoogamig],???,,,,,,-gamigw,"building, house, room",???,???,
ONION,,zhgaagwinsh [zhigaagowinzh],cf. zhgaak [zhigaag],skunk,,,,,,,derivation: secondary,metonymy: associated sensation (smell),
ORANGE,orange (fruit),ezaawmin'gaanh [ezaawiminagaanh],cf. zaawzi [[o]zaawizi],"be brown, be orange, be yellow",,,-min-?,berry?,,,derivation: primary???,metonymy: associated feature (color),
OX,,---,,,,,,,,,---,---,
pancake,,bebaabgaanh [bebaabøgaanh],,,,,,,,,???,???,looks like a participle?
PAPER,,see 'book',,,,,,,,,---,---,
PEACH,,bgesaan [bagesaan],,,,,,,,,???,???,
PEAS,"pea, peas",mnijiimin [mønijiimin],,,,,,,-min,"berry, relatively round fruit, acorn; wheat, rice; bead",derivation: primary???,"metonymy: associated feature (shape, size)?",
pencil,,zhibiigaans [ozhibii[hi]gaans],cf. zhibii'aan [[o]zhibiihan],"draw sth., write sth.",,,,,,,derivation: secondary,metonymy: associated action,
pencil,"pencil, pen",zhibiignaatik [ozhibii[hi]ganaatig],cf. zhibii'aan [[o]zhibiihan],"draw sth., write sth.",,,,,-aatigw,"tree; bush, plant; board, rail; wooden frame; handle; stick",derivation: secondary,metonymy: associated action + associated substance,
pencil,,zhibii'ganaatik [ozhibiihiganaatig],cf. zhibii'aan [[o]zhibiihan],"draw sth., write sth.",,,,,-aatigw,"tree; bush, plant; board, rail; wooden frame; handle; stick",derivation: secondary,metonymy: associated action + associated substance,"""Lit. writing stick"""
piano,,---,,,,,,,,,---,---,
PIG,"hog, pig; pork roast, pork; bacon",gookoosh,,,,,,,,,borrowing,---,"(OPD: < French: ""porceau"")"
PISTOL,,---,,,,,,,,,---,---,
"pop, soda","pop, soft drink",menwaagmik [menwaagamig],,,minw-,good,-aagam-,"liquid, water, syrup",?,,derivation: primary,"metonymy: associated sensation (taste), substance","""Lit. good-tasting liquid"""
refrigerator,"fridge, refrigerator",mkomii-taaswin [míkomii-ataasowin],mkom [míkómy] + taaswin [ataasowin],"ice + cabinet, cupboard, dresser",,,,,,,compounding: N+N,???,"""Lit. ice cupboard"""
refrigerator,"ice box, freezer, refrigerator",mkomii-mkak [míkomii-makak],mkom [míkómy] + mkak [makak],"ice + box, chest",,,,,,,compounding: N+N,???,
RIBBON,"ribbon, silk",zenbaa [zenibaa],,,,,,,,,borrowing,---,"French: ""ses rubans"""
RIBBON,,zenbaanh [zenibaanh],,,,,,,-nh,"contemptive, diminutive","borrowing, derivation: secondary",---,"French: ""ses rubans"""
RICE,,see 'oats',,,,,,,,,---,---,
RICH,"be rich, be wealthy",gchitwaawzi [gichitwaawizi],gichitwaaw,"holy, revered, venerable, saintly",,,,,-izi,"be (with qualities), have the property of",derivation: secondary,metonymy: associated state?,
RICH,"have [lots of] money, be rich",zhoonyaami [[o]zhooniyaami],zhoonyaa,money,,,,,,,derivation: secondary,???,
RICH,be rich,waandizo [waanadizo],,,,,,,,,???,???,
ripsaw,"ripsaw, table saw; bucksaw, crosscut saw, sweet saw; sawmill",daashkboojgan [daashkiboojigan],daashk- + -bood,"split lengthwise; part (separate) + be ground, be cut, be sawn",,,,,-gan,nominalizer,derivation: secondary,metonymy: associated action,
ROOSTER,,naabese,,,[OPD: naabe-],[male],,,[OPD: -se],[bird],derivation: primary,???,
rutabaga,,---,,,,,,,,,---,---,
SATURDAY,,Ngodwaasoo-giizhgat [ningodwaasoo-giizhigad],Ngodwaasoo + giizhgat,six + day,,,,,,,compounding: N+N,metonymy: associated feature (quantity)?,
SATURDAY,,Zaatewang,,,,,,,,,???,???,
saw,,---,,,,,,,,,---,---,
SCHOOL,"school, school building, school house; school (as an institution)",kinoomaadiiwgamik [gikinoohamaadiiwigamig],gikinohamaadiiw + gamigw,teach (people) (vta) + building; house; room; hive,,,,,,,compounding: V+N,metonymy: associated action,seems like gamigw should be a final but listed as ni
SCHOOL,"school, school building, school house",skoon'gamik [iskoonigamig],iskoon + gamigw,school + building; house; room; hive,,,,,,,compounding: N+N,???,seems like gamigw should be a final but listed as ni
SCISSORS,,moozhwaagan,[cf. moozho],[cf. get a haircut],,,,,-gan,nominalizer,derivation: secondary,metonymy: associated action,
SCISSORS,,sipnigan [asiponigan],???,,,,,,-gan,nominalizer,derivation: secondary,???,
screwdriver,,biimnig'igan [biiminigahigan],biim- + ?,"crooked, twisted, crossed (e.g., eyes) + ?",,,,,-gan,nominalizer,derivation: secondary,metonymy: associated action,
SHEEP,,maantaanish [maanitaanish]; maantenis [maanitenis]; maashtaanish,,,,,,,,,borrowing?,---,"Pentland (1977:226): Menominee cognate is a borrowing from Ojibwe, which borrowed it from Cree. (IJAL 43(3)) The initial meant 'strange, ugly'."
shoe,"boot, shoe, moccasin",mkizin [makizin],,,,,,,,,???,???,
SHOVEL,mine; shovel (ni),moon'igan [moonahigan],moon'aan (vti),"dig sth. up, mine sth.",,,,,-gan,nominalizer,derivation: secondary,metonymy: associated action,
SHOVEL,"shovel, flat piece of metal; flat rock",nbagaabik [nibagaabik],nabag + aabik-w,"flat + iron, metal; coin, dollar; rock",,,,,,,compounding: N+N,"metonymy: associated feature (shape), substance",is this actually a final?
"sled, toboggan",sled,zhoobaagnigan [zhoobaaginigan],zhoob(aag)- + ?,"curved, bent + ?",,,,,-gan,nominalizer,derivation: secondary,metonymy: associated feature (shape),
"sled, toboggan",,zhooshksens [zhooshkosens],zhoob- + ?,"curved, bent + ?",,,,,-ens,diminutive,derivation: secondary,metonymy: associated feature (shape),
slow cooker,,---,,,,,,,,,---,---,
snow plow,,---,,,,,,,,,---,---,
SOAP,"detergent, soap",gziibiignigan [giziibiigønigan],gziibiignaan (vti),wash sth.,,,,,-gan,nominalizer,derivation: secondary,metonymy: associated action,
SOLDIER,,zhmaagan [zhimaagan],,,,,,,,,???,???,
Spaniard,,---,,,,,,,,,---,---,
SPOON,,emkwaan [emikwaan],,,,,,,,,???,???,
stamp (postage),,---,,,,,,,,,---,---,
starch (V),,---,,,,,,,,,---,---,
STORE/SHOP,"store, trading post",daawegamik [adaawewigamig],adaawe + gamigw,"trade, sell, buy + building; house; room; hive",,,,,,,compounding: V+N,metonymy: associated action,seems like gamigw should be a final but listed as ni
stove,"stove, oven",gzhaabkizgan [gizhaabikizigan],gzhaabkiza (vai),be hot,,,,,-gan,nominalizer,derivation: secondary,metonymy: associated state,
SUGAR,,ziizbaakot [ziizibaakódw],,,,,,,,,???,???,no analysis given
Swede,,---,,,,,,,,,---,---,
TABLE,,doopwin [adoopowin],[OPD: adoopo],[s/he eats from (it)],,,,,-win,nominalizer,derivation: secondary,metonymy: associated action,
TABLE,table; manger,wiisniwaagan [wiisiniwaagan],wiisni (vai),eat,,,,,-gan,nominalizer,derivation: secondary,metonymy: associated action,
TEA,,niibiishaaboo [aniibiishaaboo],niibiish,leaf,,,,,-aaboo,liquid related to stem,derivation: secondary,metonymy: associated substance,
telephone,,biiwaabkoons [biiwaabikoons],biiwaabik,"piece of iron, piece of steel",,,,,-ens,diminutive,derivation: secondary,metonymy: associated substance,
telephone,,biiwaabkoons-giigdowin [biiwaabikoons-giigidowin],biiwaabkoons + giigdowin,wire + conversation,,,,,,,compounding: N+N,"metonymy: associated action, attribute (artifact)?","""lit., little-wire speaking"""
THREAD,,sabaabiins [asabaabiins],[OPD: asab + -aaby],[a net + string],,,,,-ens,diminutive,derivation: secondary,metonymy: associated substance?,
tire,,mkizin [makizin],,,,,,,,,---,semantic extension (function; with animacy change),this is animate; ni = 'shoe'
tire,"tire, wheel [of a vehicle]",detbisenh [detibisenh],???,,,,,,(nh (?)),"(contemptive, diminutive (?))",???,???,not analyzed
toaster,,---,,,,,,,,,---,---,
tomato,,zhaawshkojiimin [[o]zhaawashkojiimin],ozhaawashkw + ?,"blue, green + ?",,,,,-min,berry,derivation: secondary?,???,
tomato,,gchi-ginii [gichi-oginii],gichi- (prenoun) + ginii,"big, great, major + rose (flower)",,,,,,,compounding: preN+N,metonymy: associated feature (size),
tomato,,tametoonh,,,,,,,,,borrowing,---,
TOWN,,oodewin/oodenaw,???,,,,,,-win,nominalizer,derivation: secondary,???,
TOWN,,dnakiiwin [danakiiwin],???,,,,,,-win,nominalizer,derivation: secondary,???,
train,"train, railroad train","shkode-daabaan [íshkode-odaabaan], mshkode-daabaan [míshkode-odaabaan]",shkode + daabaan,"fire + car, wagon",,,,,,,compounding: N+N,metonymy: associated substance?,"""lit: fire vehicle"""
TURNIP,,jiis,,,,,,,,,???,???,
type (V),,mzinaakzige [mazinaakizige],mazin + ?,"figure, image, picture, write + ?",,,,,-ige,detransitivizer,derivation: secondary,???,
violin,,dooyaabiignigan [dooyaabiiginigan],???,,,,,,-gan,nominalizer,derivation: secondary,???,
violin,"fiddle, violin",naazhaabiig'igan [naazhaabiigahigan],(cf. naazhaabiig'aan vti),(cf. rub on sth. [stringlike]),,,,,-gan,nominalizer,derivation: secondary,metonymy: associated action,
WAGON,,see 'car',,,,,,,,,---,---,
washing machine,,gziibiignige-mkak [giziibiiganige-makak],wash clothes + box,,,,,,,,compounding: V+N,metonymy: associated action,"""lit., washing box"""
WATERMELON,,eshkdamoonh [eshkadamoonh],,,,,,,,,participle,metonymy: associated state,"[OPD: ""what one eats raw"": changed conjunct form of: ashkandan vti]"
WEDNESDAY,,Nswi-giizhgat [niswi-giizhigad],nswi + giizhgat,three + day,,,,,,,compounding: N+N,metonymy: associated feature (quantity)?,"""lit., three-day"""
WHEAT,,mzimin [mizimin],,,miz-,,,,-min,"berry, relatively round fruit, acorn; wheat, rice; bead",derivation: primary,???,
WHEAT,small loaf of bread; wheat,bkwezhgaans [bakwezhigaans],bkwezhgan,bread,,,,,-ens,diminutive,derivation: secondary,???,
whiskey,,shkodewaaboo [íshkodewaaboo],shkode,fire,,,,,-aaboo,liquid,derivation: secondary,metonymy: associated sensation (heat),
white people,white person,yaabshkiiwet [wayaabishkiiwed],[contains waab-],"[white, grey, pale]",,,,,,,participle,metonymy: associated feature (color),"""lit., one having white skin"""
WINDOW,,waasechgan [waasechigan],,,,,,,,,???,???,
"wine, grape juice",,zhoomnaaboo [zhoominaaboo],zhoomin,"grape, raisin",,,,,-aaboo,liquid,derivation: secondary,metonymy: associated substance,
wrench,,biimskobjigan [biimiskobijigan],biim- + ?,"crooked, twisted, crossed (e.g., eyes) + ?",,,,,-gan,nominalizer,derivation: secondary,metonymy: associated action,
wringer (on a washing machine),,---,,,,,,,,,---,---,
